Idreg,REG,pays,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,Urb1959,Urb1970,Urb1979,Urb1989,Urb2002,Urb2010,1959,1970,1979,1989,2002,2010,TURB0,TURB11,TURB20,TURB30,TURB43,TURB51
RUS47,Orenbourg,Russie,1829,2050,2089,2171,2180,2033,724.6,946.2,1118.5,1265.2,1246.588,1204.26,39.6,46.2,53.6,58.3,57.2,59.2,-19.3898386594,-8.3898386594,0.6101613406,10.6101613406,23.6101613406,31.6101613406
RUS49,Oudmourtie,Russie,1337,1418,1494,1606,1570,1521,539.462,758.877,928.498,1072.007,1053.813,1041.216,40.4,53.5,62.2,66.8,67.1,68.4,-7.188689196,3.811310804,12.811310804,22.811310804,35.811310804,43.811310804
RUS50,Oulianovsk,Russie,1117,1225,1270,1396,1383,1293,300.622,489.762,643.262,829.68,856.718,820.962,26.9,40,50.6,59.4,62,63.5,-24.9255194935,-13.9255194935,-4.9255194935,5.0744805065,18.0744805065,26.0744805065
RUS51,Penza,Russie,1510,1536,1503,1505,1453,1386,406.12,582.72,738.203,833.175,823.701,822.553,26.9,37.9,49.1,55.4,56.7,59.3,-29.6495704533,-18.6495704533,-9.6495704533,0.3504295467,13.3504295467,21.3504295467
RUS52,Perm,Russie,2993,3023,3012,3091,2819,2635,1422.011,1742.094,1974.78,2156.491,1962.332,1866.17,47.5,57.6,65.6,69.8,69.6,70.8,3.5025481013,14.5025481013,23.5025481013,33.5025481013,46.5025481013,54.5025481013
RUS53,Primorie,Russie,1381,1721,1978,2256,2071,1956,758.447,1074.519,1323.71,1543.029,1433.869,1377.635,54.9,62.4,66.9,68.4,69.2,70.4,25.8675851833,36.8675851833,45.8675851833,55.8675851833,68.8675851833,76.8675851833
RUS54,Pskov,Russie,952,875,850,845,761,673,184.1,276.1,363,411.4,390.665,373.457,19.3,31.5,42.7,48.7,51.3,55.5,-38.4969409886,-27.4969409886,-18.4969409886,-8.4969409886,4.5030590114,12.5030590114
RUS55,Rostov,Russie,3312,3831,4081,4292,4404,4278,1806.733,2245.13,2588.984,2855.377,2889.847,2847.269,54.6,58.6,63.4,66.5,65.6,66.6,25.7769657667,36.7769657667,45.7769657667,55.7769657667,68.7769657667,76.7769657667
RUS56,Ryazan,Russie,1445,1412,1362,1348,1228,1154,324.782,527.985,655.694,740.771,728.587,716.519,22.5,37.4,48.1,55,59.3,62.1,-29.11458897,-18.11458897,-9.11458897,0.88541103,13.88541103,21.88541103
RUS58,Sakhaline,Russie,649,616,646,710,547,498,278.291,314.611,368.909,406.946,360.94,340.365,42.9,51.1,57.1,57.3,66,68.4,-10.9360813091,0.0639186909,9.0639186909,19.0639186909,32.0639186909,40.0639186909
RUS59,Samara,Russie,2258,2751,3093,3263,3240,3216,1349.582,1885.207,2318.107,2533.361,2523.62,2526.068,59.8,68.5,75,77.6,77.9,78.6,28.7543615589,39.7543615589,48.7543615589,58.7543615589,71.7543615589,79.7543615589
RUS60,Saratov,Russie,2163,2454,2560,2684,2668,2522,1091.568,1431.241,1655.013,1800.793,1804.355,1739.49,50.5,58.3,64.6,67.1,67.6,69,10.0756991433,21.0756991433,30.0756991433,40.0756991433,53.0756991433,61.0756991433
RUS61,Smolensk,Russie,1143,1106,1121,1154,1050,986,286.623,442.019,548.61,671.796,649.782,638.044,25.1,40,49,58.2,61.9,64.7,-25.7609610467,-14.7609610467,-5.7609610467,4.2390389533,17.2390389533,25.2390389533
RUS62,Stavropol,Russie,1883,2306,2539,2410,3175,3264,671.97,1044.419,1284.503,1517.372,1680.05,1746.085,35.7,45.3,50.6,63,52.9,53.5,-25.1582951775,-14.1582951775,-5.1582951775,4.8417048225,17.8417048225,25.8417048225
RUS63,Sverdlovsk,Russie,4044,4320,4453,4707,4486,4298,2586.355,3044.336,3366.716,3694.419,3585.019,3488.416,63.9,70.5,75.6,78.5,79.9,81.2,35.9095261902,46.9095261902,55.9095261902,65.9095261902,78.9095261902,86.9095261902
RUS64,Tambov,Russie,1549,1512,1390,1322,1178,1092,411.832,531.339,599.419,655.082,593.308,570.042,26.6,35.1,43.1,49.5,50.3,52.2,-40.4399551749,-29.4399551749,-20.4399551749,-10.4399551749,2.5600448251,10.5600448251
RUS65,Tatarstan,Russie,2850,3131,3436,3642,3779,3786,1129.291,1542.692,2141.949,2626.135,2756.815,2824.501,39.6,49.3,62.3,72.1,72.9,74.6,-9.441109314,1.558890686,10.558890686,20.558890686,33.558890686,41.558890686
RUS66,Tchéliabinsk,Russie,2977,3289,3439,3618,3603,3476,2120.832,2431.374,2660.158,2859.509,2851.966,2787.889,71.2,73.9,77.4,79,79.1,80.2,96.6132892416,107.6132892416,116.6132892416,126.6132892416,139.6132892416,147.6132892416
RUS69,Tchouvatchie,Russie,1098,1224,1292,1338,1314,1252,208.3,384.7,534.3,700.4,722.492,717.125,19,31.4,41.3,52.3,55,57.3,-35.5332941877,-24.5332941877,-15.5332941877,-5.5332941877,7.4667058123,15.4667058123
RUS70,Tioumen,Russie,1092,1406,1885,3098,3265,3396,294.5,550.4,998.882,2119.439,2358.481,2563.376,27,39.1,53,68.4,72.2,75.5,-19.2951607444,-8.2951607444,0.7048392556,10.7048392556,23.7048392556,31.7048392556
RUS71,Tomsk,Russie,747,786,866,1002,1046,1047,296.1,392.7,504,713.1,697.268,723.362,39.6,50,58.2,71.2,66.7,69.1,-10.2132794372,0.7867205628,9.7867205628,19.7867205628,32.7867205628,40.7867205628
RUS72,Toula,Russie,1920,1952,1906,1861,1676,1554,924.947,1189.426,1278.551,1322.63,1194.186,1117.543,48.2,60.9,67.1,71.1,71.3,71.9,6.8450519845,17.8450519845,26.8450519845,36.8450519845,49.8450519845,57.8450519845
